# n,energy,berry,bcd_x,bcd_y,qmd_x,qmd_y
0.00000033333333333333335,0,0.0000000015163671106514109,-0.000000000285513067766042,-0.0000000003269593953047191,-0.000000005470091229279962,-0.000000006181702748301558
0.006666666666666667,0,0.000035401302117368587,0.00006474709747624894,-0.00011214525937570606,0.00014716161306208464,-0.00008496379456889638
0.013333333333333334,0,0.00009356425654594332,0.00018415233666004317,-0.0003189611946989039,0.00040440046296693943,-0.00023348070441043037
0.02,0,0.00019535090657050845,0.00033703411458844393,-0.000583760206280237,0.0007108264198448619,-0.00041039580666515755
0.02666666666666667,0,0.000301702952662359,0.00046096454079076646,-0.0007984140123730584,0.0008546276195328569,-0.0004934195070182319
0.03333333333333333,0,0.0004135268472954237,0.0005890292170598444,-0.001020228538699561,0.0008868515185485878,-0.0005120239486119681
0.04,0,0.0005470368849663439,0.0007320441930464816,-0.0012679377189458551,0.0008568922633581692,-0.0004947269741360465
0.04666666666666667,0,0.0007035845436079419,0.000884748086492189,-0.0015324286270854773,0.000763885866090453,-0.00044102968635050557
0.05333333333333334,0,0.0008845222248608862,0.001042704499286,-0.00180601716971381,0.0006019613532195483,-0.00034754258720560695
0.06,0,0.0010921685781557777,0.001201443208440663,-0.00208096070271363,0.00035949056808493626,-0.00020755200564112082
0.06666666666666667,0,0.0013288702623152646,0.0013557811591639905,-0.0023482818336352028,0.0000212181062297624,-0.00001225025790390485
0.07333333333333333,0,0.0015947445146458628,0.0015008649018796202,-0.0025995742466538925,-0.0004232510753654033,0.00024436415884341136
0.08,0,0.0018913221393559254,0.0016313939047592776,-0.002825657112727535,-0.0009925993591405134,0.0005730774628305915
0.08666666666666667,0,0.002220461794719252,0.0017415601789669969,-0.0030164706960487753,-0.0017099250426232389,0.000987225664077339
0.09333333333333334,0,0.0025839085074329552,0.0018249965185409397,-0.00316098670357575,-0.0026042620994474993,0.0015035714822431653
0.1,0,0.0029833831987721286,0.0018745982574635957,-0.003246899430745584,-0.0037116659136966434,0.0021429313992714512
0.10666666666666667,0,0.0034207135788964452,0.0018824615956806678,-0.00326051913948685,-0.005077396924680449,0.0029314365143858117
0.11333333333333333,0,0.003897855902939257,0.0018397782947665038,-0.003186589480719173,-0.006758784146680714,0.0039021859307696314
0.12,0,0.00441629662094126,0.0017367417334021322,-0.0030081249190120783,-0.008828710224536804,0.005097258201182232
0.12666666666666668,0,0.00497784448420505,0.001562512453181653,-0.002706350954004067,-0.01138050852955141,0.0065705398196005335
0.13333333333333333,0,0.005583540696630019,0.0013053159485805431,-0.0022608735633902954,-0.014534223812363205,0.008391338009066003
0.14,0,0.006234645576887085,0.0009528274859709343,-0.001650345621209172,-0.018444608246078985,0.010648999641364126
