# n,energy,berry,bcd_x,bcd_y,qmd_x,qmd_y
1.1333333333333333,0.722515794410933,-0.31571271487920183,-0.0014389863895954615,-0.008244869569347814,0.11039466375187253,-0.07658430226252431
1.14,0.750843550849544,-0.3124122921815844,-0.01374658964882268,0.013828192078347765,0.12685946877520157,-0.08465350166243207
1.1466666666666667,0.778594364956641,-0.30970325559310596,-0.027284644933530167,0.03762262473389229,0.1475934176047029,-0.09535939574441678
1.1533333333333333,0.805836741236111,-0.30736459062220156,-0.04217423706364636,0.06349950651790492,0.1733631340425558,-0.10900653651573865
1.16,0.8326157516011179,-0.3054732555511927,-0.05869394989825788,0.09200086245009369,0.20548338486516002,-0.1262654747218281
1.1666666666666667,0.8588334133992389,-0.30383579001237326,-0.0776938396535437,0.12461492211401481,0.24801733720882416,-0.14935743426406337
1.1733333333333333,0.8845662705695236,-0.30233711547626546,-0.09934855401880797,0.16169335003778995,0.3027509558130155,-0.17924172217336615
1.18,0.9098075926640801,-0.30117197910371196,-0.12424078532016344,0.20426691720486315,0.37406192413023237,-0.21834581651951115
1.1866666666666668,0.9345512423149029,-0.30016817698411424,-0.15327737637382635,0.2539346484047674,0.4701582789562397,-0.2712597443379746
1.1933333333333334,0.9586616657819448,-0.29901154500195815,-0.1871200550573828,0.31188943540770475,0.6037472279798417,-0.3451553039714438
1.2,0.9822240427953985,-0.29749907113785934,-0.22520639949814153,0.37721169063718163,0.7878997807154167,-0.4474968932729532
1.2066666666666668,1.0051997736220115,-0.2954203127178851,-0.2654302980297033,0.4463212639790599,1.04550975239578,-0.5913922133313932
1.2133333333333334,1.0275345741496478,-0.2925321741299944,-0.30073948787697224,0.5070868042911001,1.4098328313860151,-0.7959821858013196
1.22,1.0489904894054731,-0.28809503068241843,-0.3117676326052987,0.5260876816205505,1.9219603210608645,-1.0850795620502256
1.2266666666666666,1.06891919362518,-0.28163439427860015,-0.25470677514859635,0.4276210080927775,2.617156362656849,-1.4793952418948015
1.2333333333333334,1.0884342588701736,-0.26987450603111646,-0.1574411834088469,0.2595826459191175,3.3640019121513127,-1.9026094468905717
1.24,1.1090548297518517,-0.25101999910289274,0.012229675476056995,-0.03339769095865139,3.9737772672200538,-2.246040464699583
1.2466666666666666,1.1304716994920865,-0.22440268992951692,0.4860664555139613,-0.8526209230907821,4.2768246937724905,-2.4125377393435703
1.2533333333333334,1.1521020274409497,-0.18066338280837485,2.704792302686773,-4.693584695528143,3.7759059472798073,-2.117222955861312
1.26,1.1735337899818556,0.024175076804627105,40.85943065610895,-70.78421788454429,-2.660408907560115,1.5411359339179245
1.2666666666666666,1.194242595391665,0.4698988368284047,-45.93052822538991,79.69279328010951,-18.53973485930211,9.755446607646169
1.2733333333333334,1.2138370838312416,0.044625250598814725,-6.26615891387322,10.857804309762628,-13.520822687336365,7.73627279453234
1.28,1.236145655519613,-0.033501210303963455,-2.6238217398806873,4.546549347374786,-12.726309635904656,7.332903224058004
1.2866666666666666,1.2596213431682115,-0.0524812132068147,-2.5565111943198113,4.430986039747743,-12.322167010453438,7.074228489130246
1.2933333333333332,1.281538296111191,-0.0590503726068229,-6.753842262600966,11.660947475372458,-10.837144716851956,6.226277622009585
1.3,1.301237469845156,0.7894572597377235,-8.806494429894517,14.861935819650256,-8.627425751494304,4.271744495192948
1.3066666666666666,1.3208487804640956,1.7160000697045141,7.993719872843018,-14.477150365035428,-2.5964436410814287,0.15620181750264805
1.3133333333333332,1.3406065482417493,0.22931980559618642,21.885287535808857,-37.93265710043194,7.657082582260749,-4.458693823271452
1.32,1.3601368802639857,-0.15288172504385475,5.521746578210279,-9.57164491735182,6.573487612472437,-3.9561771657534406
1.3266666666666667,1.3793324685284012,-0.32685522317287474,2.636624324252246,-4.5701319491620165,6.840251395139697,-4.175850930719166
1.3333333333333333,1.3979583594635736,-0.44974083359911277,1.6590230166460898,-2.8753951268777143,7.427301644052134,-4.545919694739699
1.34,1.4154915996655746,-0.5384197754795207,1.2350799669950787,-2.137611368369458,8.024058789510525,-4.907197164412432
1.3466666666666667,1.430260780669359,-0.5672065118379862,1.1225984956190476,-1.8932335838876426,8.204231218018116,-4.986467737745337
1.3533333333333333,1.4444156371649182,-0.600564246527505,1.0295380448223692,-1.7444030760723352,8.27696354976034,-5.016890724042825
1.36,1.458029424172853,-0.6393861049956049,0.9548220772825663,-1.6454395190364741,8.321748285390024,-5.029229577008915
1.3666666666666667,1.4708352249972454,-0.688384368097162,0.9092380460516712,-1.5728630662456593,8.418304016388186,-5.049534220243008
1.3733333333333333,1.4818232057537593,-0.7726870664211406,0.8841392768633873,-1.5366544319909097,8.58033081495863,-5.089588339088436
1.38,1.4919937208897225,-0.8728660126517516,0.8682526391416414,-1.5168002444016966,8.771799662182197,-5.138523709506256
