# n,energy,bc_sum,bcd_x_sum,bcd_y_sum
0,-3.3,0,0,0
0,-3.2977999999999996,0,0,0
0,-3.2956,0,0,0
0,-3.2933999999999997,0,0,0
0,-3.2912,0,0,0
0,-3.2889999999999997,0,0,0
0,-3.2868,0,0,0
0,-3.2845999999999997,0,0,0
0,-3.2824,0,0,0
0,-3.2802,0,0,0
0,-3.278,0,0,0
0,-3.2758,0,0,0
0,-3.2735999999999996,0,0,0
0,-3.2714,0,0,0
0,-3.2691999999999997,0,0,0
0,-3.267,0,0,0
0,-3.2647999999999997,0,0,0
0,-3.2626,0,0,0
0,-3.2603999999999997,0,0,0
0,-3.2582,0,0,0
0,-3.256,0,0,0
0,-3.2538,0,0,0
0,-3.2516,0,0,0
0,-3.2493999999999996,0,0,0
0,-3.2472,0,0,0
0,-3.2449999999999997,0,0,0
0,-3.2428,0,0,0
0,-3.2405999999999997,0,0,0
0,-3.2384,0,0,0
0,-3.2361999999999997,0,0,0
0,-3.234,0,0,0
0,-3.2318,0,0,0
0,-3.2296,0,0,0
0,-3.2274,0,0,0
0,-3.2251999999999996,0,0,0
0,-3.223,0,0,0
0,-3.2207999999999997,0,0,0
0,-3.2186,0,0,0
0,-3.2163999999999997,0,0,0
0,-3.2142,0,0,0
0,-3.2119999999999997,0,0,0
0,-3.2098,0,0,0
0,-3.2076,0,0,0
0,-3.2054,0,0,0
0,-3.2032,0,0,0
0,-3.2009999999999996,0,0,0
0,-3.1988,0,0,0
0,-3.1965999999999997,0,0,0
0,-3.1944,0,0,0
0,-3.1921999999999997,0,0,0
0,-3.19,0,0,0
0,-3.1877999999999997,0,0,0
0,-3.1856,0,0,0
0,-3.1834,0,0,0
0,-3.1812,0,0,0
0,-3.179,0,0,0
0.0002240740740740741,-3.1767999999999996,-0.000018923534100831777,-0.0000001882026687729507,0.00000012083452469115607
0.000524074074074074,-3.1746,-0.00004431355224696704,-0.00000042829937473339273,0.00000027594848678667687
0.0008185185185185186,-3.1723999999999997,-0.00006928887803864352,-0.0000006507452539732986,0.00000042067273467789364
0.0011185185185185176,-3.1702,-0.00009479519707011285,-0.0000008640299589043205,0.0000005605970481596942
0.0014240740740740717,-3.1679999999999997,-0.00012083022555729297,-0.0000010674233147004452,0.0000006953190501861857
0.0017407407407407367,-3.1658,-0.00014787215034950992,-0.0000012635604920796045,0.0000008266336852318701
0.0020569444444444394,-3.1635999999999997,-0.0001749281738849698,-0.0000014156614836678355,0.000000850802340616626
0.002355555555555548,-3.1614,-0.0002005174932057118,-0.0000014849223552295754,0.0000008360406055701509
0.00264675925925925,-3.1592,-0.00022551902280165204,-0.0000014302944590522488,0.0000008407307594472543
0.002966666666666655,-3.157,-0.0002530529078371806,-0.0000013488110927433012,0.0000007536999406716809
0.003280092592592579,-3.1548,-0.0002800603711141317,-0.0000012201509698504148,0.0000006900761794184691
0.003593981481481466,-3.1525999999999996,-0.00030715708209517247,-0.0000012578183781737095,0.0000008815118057944372
0.0038856481481481307,-3.1504,-0.00033234563249518275,-0.0000015182555954219701,0.0000010404095071118101
