# energy,bcd_x,bcd_y
2.962695,0.000464057968,0.000000001659
2.902232,0.001338038883,-0.000000001513
2.841769,0.002414470396,0.000000002888
2.781306,0.003495830516,0.000000004448
2.720843,0.004319224189,0.000000001433
2.660379,0.004429855847,-0.000015438401
2.599916,0.003467768238,0.000040423438
2.539453,0.000150257446,0.000130724884
2.478990,-0.007505770811,0.000281572511
2.418527,-0.023374922934,0.000519669451
2.358064,-0.054315780766,0.000872068084
2.297600,-0.101767244130,0.001348176143
2.237137,-0.112536171985,0.001872495721
2.176674,-1.102542722466,0.002185902572
2.116211,-3.454167064664,0.006922119055
2.055748,2.761537611548,0.008552611901
1.995285,2.328028728243,-0.003336494824
1.934821,1.334189196106,0.097222901904
1.874358,0.393292664779,0.056916761145
1.813895,0.013923541799,0.019156350763
1.753432,0.072672055364,0.086518912610
1.692969,0.159361832978,0.036077394918
1.632506,0.253774459729,0.106791813950
1.572042,0.088487817020,0.191718222038
1.511579,-1.467670149088,0.038620229935
1.451116,-2.396587017619,-0.361044900026
1.390653,-0.972184809377,-0.355476926451
1.330190,0.879207618680,-0.192969896662
1.269727,-0.588999218415,-0.081889992208
1.209263,-0.920417431359,-0.028762681747
1.148800,-1.369376602683,-0.000188356450
1.088337,-0.303578601394,0.014407589824
1.027874,0.349356127831,0.017568983365
0.967411,0.363995491713,0.014676655908
0.906948,0.266574036021,0.010881300353
0.846484,0.165091646318,0.007960685218
0.786021,0.075295947910,0.005915155919
0.725558,-0.004232239091,0.004281800086
0.665095,-0.076722356950,0.002394032733
0.604632,-0.139272960135,-0.005641634259
0.544169,-0.241765453753,0.021790191639
0.483705,-0.340721309654,-0.030336154073
0.423242,-0.349815292672,-0.000000363830
0.362779,-0.387308710910,0.000002445884
0.302316,-0.334700313087,0.000002877148
0.241853,-0.005465712317,-0.000005333013
0.181390,0.037053047757,0.000002575075
0.120926,0.228120053506,-0.000001604483
-0.120926,-0.228120053506,0.000001604483
-0.181390,-0.037053047757,-0.000002575075
-0.241853,0.005465712317,0.000005333013
-0.302316,0.334700313087,-0.000002877148
-0.362779,0.387308710910,-0.000002445884
-0.423242,0.349815292672,0.000000363830
-0.483705,0.340721309654,0.030336154073
-0.544169,0.241765453753,-0.021790191639
-0.604632,0.139272960135,0.005641634259
-0.665095,0.076722356950,-0.002394032733
-0.725558,0.004232239091,-0.004281800086
-0.786021,-0.075295947910,-0.005915155919
-0.846484,-0.165091646318,-0.007960685218
-0.906948,-0.266574036021,-0.010881300353
-0.967411,-0.363995491713,-0.014676655908
-1.027874,-0.349356127831,-0.017568983365
-1.088337,0.303578601394,-0.014407589824
-1.148800,1.369376602683,0.000188356450
-1.209263,0.920417431359,0.028762681747
-1.269727,0.588999218415,0.081889992208
-1.330190,-0.879207618680,0.192969896662
-1.390653,0.972184809377,0.355476926451
-1.451116,2.396587017619,0.361044900026
-1.511579,1.467670149088,-0.038620229935
-1.572042,-0.088487817020,-0.191718222038
-1.632506,-0.253774459729,-0.106791813950
-1.692969,-0.159361832978,-0.036077394918
-1.753432,-0.072672055364,-0.086518912610
-1.813895,-0.013923541799,-0.019156350763
-1.874358,-0.393292664779,-0.056916761145
-1.934821,-1.334189196105,-0.097222901904
-1.995285,-2.328028728242,0.003336494824
-2.055748,-2.761537611547,-0.008552611901
-2.116211,3.454167064668,-0.006922119056
-2.176674,1.102542722466,-0.002185902572
-2.237137,0.112536171985,-0.001872495721
-2.297600,0.101767244130,-0.001348176143
-2.358064,0.054315780766,-0.000872068084
-2.418527,0.023374922934,-0.000519669451
-2.478990,0.007505770811,-0.000281572511
-2.539453,-0.000150257446,-0.000130724884
-2.599916,-0.003467768238,-0.000040423438
-2.660379,-0.004429855847,0.000015438401
-2.720843,-0.004319224189,-0.000000001433
-2.781306,-0.003495830516,-0.000000004448
-2.841769,-0.002414470396,-0.000000002888
-2.902232,-0.001338038883,0.000000001513
-2.962695,-0.000464057968,-0.000000001659
