# n,energy,berry,bcd_x,bcd_y
0.0000003333333333333333,-3.0994364768064298,0.000000026084667478572022,0,0
0.0028775,-3.0787735669610536,0.00022866990037427213,-0.0000000000000000005774944902926712,0.0000000000000000024612659864841832
0.0057685,-3.0581106571156775,0.00046643860047312625,-0.0000000000000000008280144106104811,-0.0000000000000000005524772398466174
0.008682500000000001,-3.037447747270301,0.0007158200907858142,-0.000000000000000004731645157370729,0.00000000000000000091394855008739
0.0116135,-3.016784837424925,0.0009781806235189055,0.000000000000000001746562084903666,0.000000000000000001451708592475464
0.014555499999999999,-2.9961219275795488,0.001254928355233683,-0.00000000000000000014394266147402766,0.0000000000000000010045810754436002
0.0175295,-2.9754590177341727,0.0015502742578236278,0.00000000000000000017406527066075872,0.0000000000000000020820069843510702
0.0205145,-2.9547961078887965,0.0018645645210674606,-0.0000000000000000030948135438058977,0.000000000000000003535727280076263
0.023667499999999998,-2.93413319804342,0.00218601711133484,-0.00000000000000000017655673866576844,0.0000000000000000006127224582200795
0.029567,-2.913470288198044,0.0022486428920765653,-0.000000000000000003557339855121049,0.000000000000000013712828141336682
0.035512499999999995,-2.8928073783526678,0.0023300454837411827,0.0000000000000000034829465395504796,-0.000000000000000002600391148070702
0.0414965,-2.8721444685072917,0.002430714239592267,-0.0000000000000000028658300979165184,0.0000000000000000005484538333471595
0.0475285,-2.8514815586619155,0.002551257909168229,0.000000000000000002249613628789015,0.000000000000000023507705385148597
0.05359,-2.830818648816539,0.0026935355538639945,0.0000000000000000019354702844760763,-0.000000000000000010231310969884694
0.059697499999999994,-2.810155738971163,0.0028606014903215316,0.0000000000000000000031234339930002325,0.000000000000000020322861503472428
0.0658525,-2.7894928291257868,0.0030550921597899306,-0.000000000000000006413151141458325,0.000000000000000007442031474576283
0.07205450000000001,-2.7688299192804107,0.0032785165102898885,-0.0000000000000000009811222332715963,0.000000000000000007368339608165159
0.0782905,-2.7481670094350346,0.003532609308641958,-0.00008353168793666152,0.00004104829693584179
0.0845785,-2.727504099589658,0.0038211731210430703,-0.00007558167649406334,0.00003203101272681688
0.0909175,-2.706841189744282,0.004149182666945984,-0.00007825219862825846,0.00002915381107024322
0.0972945,-2.686178279898906,0.004510964595357248,-0.00008467660045407413,0.00002809266672990537
0.1037385,-2.6655153700535297,0.004924088756884841,-0.00009345183131227447,0.000027845192933475977
0.110218,-2.6448524602081536,0.005382852031088434,-0.00010413992405531024,0.000027989531306193935
0.116751,-2.624189550362777,0.005892043744204132,-0.00011661014920977133,0.00002835959859180413
0.1233455,-2.603526640517401,0.006463378972394649,0.000015016623278406366,-0.000057614819607416706
0.1299935,-2.582863730672025,0.007093407928715815,-0.00007112066498468616,-0.000020900749278165842
0.13669699999999999,-2.5622008208266487,0.007802775651016772,-0.0000959238803202716,-0.0000206903434866889
0.143452,-2.5415379109812726,0.00858424982989668,-0.00011487970690401972,-0.00002586105611739721
0.15029,-2.520875001135896,0.009471787704113072,-0.00013257448484775713,-0.000034164796308927726
0.15718200000000002,-2.50021209129052,0.010456619837381075,-0.00015008219826884717,-0.00004528018176093363
0.1641415,-2.479549181445144,0.011578752816400657,-0.00016769591666164463,-0.00005926804551227635
0.1711855,-2.4588862715997677,0.01284162250806595,-0.00018535963526828306,-0.0000763838627691896
0.1782895,-2.4382233617543916,0.014301523968969925,-0.00020259495063751736,-0.0000969736707895253
0.18550049999999998,-2.417560451909015,0.016016493172595486,-0.00021874121574456915,-0.00012137099093778467
0.1927945,-2.396897542063639,0.01804768316316691,-0.00023273793489719908,-0.00014995329072818134
0.200195,-2.376234632218263,0.020507419391157494,-0.0002431414662549135,-0.00018298926738108086
0.20771949999999997,-2.3555717223728867,0.023654756712259063,-0.0002480058633973878,-0.00022064860198235827
0.215394,-2.3349088125275106,0.0277999626045171,-0.00024488859898259363,-0.0002628793246566583
