# n,energy,berry,bcd_x,bcd_y,qmd_x,qmd_y
0.000009375,-3.2499726275588317,-0.000000000000004636378489797762,0,0,0,0
0.0006666666666666666,-3.24521157546834,-0.00000006885327154111022,-0.00000000000000000000035818018806679465,0.00000000000000000000013714434899502524,0.000000000000000000000006200675353498481,0.0000000000000000000003578154424577653
0.0013333333333333333,-3.2403826161372544,-0.00000013868859772023593,-0.0000000000000000000007214691268350174,0.00000000000000000000027624479805495573,0.000000000000000000000012489791401420871,0.0000000000000000000007207344332231691
0.002,-3.2355536568061694,-0.00000020852392389936164,-0.0000000000000000000010847580656032404,0.0000000000000000000004153452471148863,0.000000000000000000000018778907449343263,0.0000000000000000000010836534239885731
0.0026666666666666666,-3.2307246974750843,-0.0000002783592500784874,-0.0000000000000000000014480470043714631,0.0000000000000000000005544456961748168,0.000000000000000000000025068023497265653,0.0000000000000000000014465724147539769
0.0033333333333333335,-3.2259112530621623,-0.0000005657225048650737,-0.000000000000000000003765814414675183,0.0000000000000000000007490396173538518,-0.00000000000000000000004954984198486926,0.000000000000000000003029564503111951
0.004,-3.221112474726896,-0.0000010587124642015689,-0.000000000000000000007931128343664427,0.000000000000000000000996090893636356,-0.00000000000000000000020064816721122225,0.000000000000000000005765877969437365
0.004666666666666667,-3.2163136963916306,-0.0000015517024235380642,-0.000000000000000000012096442272653674,0.0000000000000000000012431421699188603,-0.0000000000000000000003517464924375753,0.000000000000000000008502191435762781
0.005333333333333333,-3.211514918056365,-0.000002044692382874559,-0.000000000000000000016261756201642916,0.0000000000000000000014901934462013642,-0.0000000000000000000005028448176639282,0.000000000000000000011238504902088194
0.006,-3.2067169728423375,-0.0000025500185022803473,-0.000000000000000000020296683871808558,0.000000000000000000001689450022448429,-0.0000000000000000000006297193245983942,0.00000000000000000001387160441828139
0.006666666666666667,-3.2019774386840503,-0.0000039202465109887675,-0.00000000000000000001519008606223016,-0.0000000000000000000014622329260115039,0.0000000000000000000009417649842650378,0.000000000000000000009268259208537724
0.007333333333333333,-3.197237904525763,-0.000005290474519697186,-0.000000000000000000010083488252651769,-0.000000000000000000004613915874471433,0.000000000000000000002513249293128468,0.000000000000000000004664913998794063
0.008,-3.1924983703674754,-0.000006660702528405606,-0.000000000000000000004976890443073369,-0.000000000000000000007765598822931366,0.0000000000000000000040847336019919004,0.00000000000000000000006156878905039438
0.008666666666666666,-3.187758836209188,-0.000008030930537114024,0.00000000000000000000012970736650502356,-0.000000000000000000010917281771391296,0.00000000000000000000565621791085533,-0.000000000000000000004541776420693267
0.009333333333333334,-3.183012584348171,-0.000010014548529017404,0.000000000000000000014201086836732783,-0.00000000000000000001542473366568839,0.0000000000000000000034044648358560425,-0.000000000000000000007833026504996578
0.01,-3.1782583767095174,-0.000012724604487366675,0.000000000000000000038889460287319926,-0.000000000000000000021537823185260185,-0.0000000000000000000033751495777110093,-0.000000000000000000009570361884426838
0.010666666666666666,-3.173504169070864,-0.00001543466044571595,0.00000000000000000006357783373790707,-0.00000000000000000002765091270483198,-0.000000000000000000010154763991278063,-0.000000000000000000011307697263857095
0.011333333333333334,-3.1687499614322103,-0.00001814471640406523,0.00000000000000000008826620718849427,-0.000000000000000000033764002224403794,-0.00000000000000000001693437840484513,-0.00000000000000000001304503264328736
0.012,-3.163995753793557,-0.0000208547723624145,0.0000000000000000001129545806390814,-0.00000000000000000003987709174397559,-0.00000000000000000002371399281841218,-0.000000000000000000014782368022717617
0.012666666666666666,-3.1592549815603634,-0.000025263696553042193,0.00000000000000000008985841138685035,-0.00000000000000000004415102049767605,-0.00000000000000000002620166188473858,-0.000000000000000000022691250334552123
0.013333333333333334,-3.1545154474020762,-0.0000298291717411836,0.00000000000000000006235888837019577,-0.000000000000000000048255470272951526,-0.00000000000000000002829382745490288,-0.0000000000000000000311688417493727
0.014,-3.149775913243789,-0.000034394646929325,0.000000000000000000034859365353541266,-0.000000000000000000052359920048226986,-0.00000000000000000003038599302506718,-0.00000000000000000003964643316419325
0.014666666666666666,-3.1450363790855014,-0.0000389601221174664,0.000000000000000000007359842336886748,-0.00000000000000000005646436982350245,-0.00000000000000000003247815859523148,-0.000000000000000000048124024579013807
0.015333333333333332,-3.140352773198765,-0.00004437970124990736,0.0000000000000000000024794018679151413,-0.00000000000000000005166192044684787,-0.00000000000000000003695309081871329,-0.00000000000000000004516447846514029
0.016,-3.135768865535227,-0.00005132181350044757,0.000000000000000000037919934636117514,-0.00000000000000000003098195519066573,-0.00000000000000000004567556359810895,-0.000000000000000000021816991539246852
0.016666666666666666,-3.1311849578716897,-0.00005826392575098777,0.00000000000000000007336046740431979,-0.000000000000000000010301989934483645,-0.00000000000000000005439803637750459,0.0000000000000000000015304953866465278
0.017333333333333333,-3.1266010502081523,-0.00006520603800152796,0.00000000000000000010880100017252205,0.000000000000000000010377975321698423,-0.00000000000000000006312050915690023,0.000000000000000000024877982312539914
0.018,-3.122017142544615,-0.00007214815025206815,0.00000000000000000014424153294072435,0.00000000000000000003105794057788052,-0.00000000000000000007184298193629589,0.0000000000000000000482254692384333
0.018666666666666668,-3.1173605161624085,-0.00008104313915350797,0.00000000000000000014931806840492527,0.000000000000000000046301014030137227,-0.000000000000000000013853934569973606,0.00000000000000000006614198912161141
0.019333333333333334,-3.1126644639688763,-0.00009099691660061619,0.0000000000000000001379321956922579,0.00000000000000000005859637505857885,0.00000000000000000008030400926089429,0.0000000000000000000811140088009076
